sector, subsector
power,electricity-generation
power,other-energy-use
transportation,domestic-aviation
transportation,international-aviation
transportation,road-transportation
transportation,railways
transportation,international-shipping
transportation,domestic-shipping
transportation,other-transport
buildings,residential-and-commercial-onsite-fuel-usage
buildings,other-onsite-fuel-usage
fossil-fuel-operations,coal-mining
fossil-fuel-operations,solid-fuel-transformation
fossil-fuel-operations,oil-and-gas-production-and-transport
fossil-fuel-operations,oil-and-gas-refining
fossil-fuel-operations,petrochemicals
fossil-fuel-operations,other-fossil-fuel-operations
manufacturing,cement
manufacturing,chemicals
manufacturing,steel
manufacturing,aluminum
manufacturing,pulp-and-paper
manufacturing,other-manufacturing
mineral-extraction,bauxite-mining
mineral-extraction,copper-mining
mineral-extraction,iron-mining
mineral-extraction,rock-quarrying
mineral-extraction,sand-quarrying
agriculture,enteric-fermentation
agriculture,manure-management
agriculture,rice-cultivation
agriculture,synthetic-fertilizer-application
agriculture,cropland-fires
agriculture,other-agricultural-soil-emissions
agriculture,other-agriculture
waste,solid-waste-disposal
waste,biological-treatment-of-solid-waste-and-biogenic
waste,incineration-and-open-burning-of-waste
waste,wastewater-treatment-and-discharge
fluorinated-gases,fluorinated-gases
forestry-and-land-use,forest-land-fires
forestry-and-land-use,forest-land-clearing
forestry-and-land-use,forest-land-degradation
forestry-and-land-use,net-forest-land
forestry-and-land-use,net-shrubgrass
forestry-and-land-use,net-wetland
forestry-and-land-use,grassland-fires
forestry-and-land-use,wetland-fires
forestry-and-land-use,forest-grassland-wetland-removals
